title,author,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,year_read,bookshelf
"The Givenchy Code (Codebreaker Trilogy, #1)","Kenner, Julie",3,3.59,Pocket Books,Paperback,368,2005,November,2011,read
The Good Life,"McInerney, Jay",4,3.34,Knopf,Hardcover,368,2006,August,2013,read
The Humanity Project,"Thompson, Jean",4,3.28,Blue Rider Press,Hardcover,352,2013,August,2015,read
"The Hunger Games (The Hunger Games, #1)","Collins, Suzanne",4,4.38,Scholastic Press,Hardcover,374,2008,May,2012,read
The Icarus Agenda,"Ludlum, Robert",,3.9,Random House,Hardcover,677,1988,May,2014,quit-reading
The Immortal Life of Henrietta Lacks,"Skloot, Rebecca",,4.02,Crown Publishing Group,Hardcover,370,2010,September,2014,quit-reading
The Innocent,"McEwan, Ian",4,3.68,Vintage,Hardcover,226,1990,February,2015,read
"The It Girl (It Girl, #1)","Ziegesar, Cecily von",5,3.66,Poppy,Paperback,263,2005,January,2015,read
The Kill Room,"Deaver, Jeffery",3,3.79,Grand Central Publishing,Hardcover,484,2013,December,2013,read
The King of Methlehem: A Novel,"Lindquist, Mark",4,3.2,Simon & Schuster,Hardcover,256,2007,April,2013,read
The Know-It-All: One Man's Humble Quest to Become the Smartest Person in the World,"Jacobs, A.J.",4,3.77,Simon & Schuster,Hardcover,386,2004,May,2012,read
The Last Bookaneer,"Pearl, Matthew",,3.36,Harvill Secker,Hardcover,400,2015,April,2015,to-read
The Last Dickens,"Pearl, Matthew",4,3.54,Random House (NY),Hardcover,386,2009,June,2012,read
The Last of the Savages,"McInerney, Jay",5,3.66,Knopf,Hardcover,271,1996,February,2014,read
The Latehomecomer: A Hmong Family Memoir,"Yang, Kao Kalia",,4.04,Coffee House Press,Paperback,277,2008,September,2013,to-read
"The Lazarus Vendetta (Covert-One, #5)","Larkin, Patrick",3,3.92,St. Martin's Paperbacks,Paperback,416,2004,July,2015,read
The Leftovers,"Perrotta, Tom",3,3.35,St. Martin's Press,Hardcover,355,2011,April,2013,read
The Litigators,John Grisham,4,3.73,Doubleday,Hardcover,385,2011,December,2015,read
